Target Return,Iteration,OOS Mean,OOS Variance
0.050000,27,-0.005947,0.012527
0.050000,28,-0.021606,0.004377
0.050000,29,0.013834,0.007662
0.050000,30,-0.002623,0.006594
0.050000,31,0.013108,0.006391
0.050000,32,-0.001406,0.032198
0.050000,33,0.032416,0.009506
0.050000,34,-0.007299,0.010360
0.050000,35,0.019767,0.003295
0.050000,36,-0.020157,0.008953
0.050000,37,0.017921,0.004593
0.050000,38,0.036767,0.008941
0.050000,39,0.040014,0.006843
0.050000,40,-0.004671,0.015550
0.050000,41,0.025565,0.006077
0.050000,42,0.037981,0.006437
0.050000,43,-0.001216,0.016753
0.050000,44,0.035477,0.005651
0.050000,45,0.003644,0.005247
0.050000,46,0.002983,0.005214
0.050000,47,-0.052252,0.026885
0.050000,48,-0.008470,0.006072
0.050000,49,0.079383,0.014385
0.050000,50,0.067969,0.045066
0.055000,1,0.053391,0.014039
0.055000,2,0.031704,0.011139
0.055000,3,-0.025951,0.005079
0.055000,4,-0.019340,0.002506
0.055000,5,0.024832,0.004593
0.055000,6,0.017830,0.008654
0.055000,7,0.032130,0.003724
0.055000,8,0.047330,0.006325
0.055000,9,-0.015825,0.010351
0.055000,10,-0.027471,0.008003
0.055000,11,0.051401,0.006756
0.055000,12,0.012997,0.007198
0.055000,13,-0.001971,0.006086
0.055000,14,0.035026,0.014117
0.055000,15,0.052298,0.005906
0.055000,16,-0.013841,0.011074
0.055000,17,-0.028139,0.023783
0.055000,18,0.006384,0.073458
0.055000,19,-0.019193,0.033288
0.055000,20,0.074229,0.074428
0.055000,21,-0.036744,0.146448
0.055000,22,-0.044177,0.031759
0.055000,23,-0.079746,0.033683
0.055000,24,0.025174,0.013762
0.055000,25,-0.008906,0.014749
0.055000,26,0.030984,0.006807
0.055000,27,-0.007062,0.015081
0.055000,28,-0.023957,0.005667
0.055000,29,0.014999,0.009254
0.055000,30,0.003065,0.008971
0.055000,31,0.014568,0.007801
0.055000,32,-0.001644,0.038542
0.055000,33,0.036019,0.011539
0.055000,34,-0.008138,0.012395
0.055000,35,0.021193,0.003933
0.055000,36,-0.022608,0.010805
0.055000,37,0.020031,0.005531
0.055000,38,0.040276,0.010730
0.055000,39,0.044220,0.008203
0.055000,40,-0.004120,0.018710
0.055000,41,0.029491,0.008426
0.055000,42,0.042236,0.007892
0.055000,43,-0.001793,0.020136
0.055000,44,0.039190,0.006863
0.055000,45,0.004527,0.006334
0.055000,46,-0.005610,0.006502
0.055000,47,-0.057546,0.032842
0.055000,48,-0.003036,0.007391
0.055000,49,0.087170,0.017453
0.055000,50,0.073939,0.054472
0.060000,1,0.058030,0.016748
0.060000,2,0.034188,0.013488
0.060000,3,-0.029338,0.006184
0.060000,4,-0.018362,0.004134
0.060000,5,0.026923,0.005602
0.060000,6,0.020021,0.010437
0.060000,7,0.034780,0.004415
0.060000,8,0.051382,0.007651
0.060000,9,-0.017720,0.012201
0.060000,10,-0.030693,0.009482
0.060000,11,0.055683,0.008117
0.060000,12,0.013492,0.008442
0.060000,13,-0.002700,0.007176
0.060000,14,0.038206,0.016583
0.060000,15,0.055144,0.006828
0.060000,16,-0.014814,0.013011
0.060000,17,-0.030428,0.028645
0.060000,18,0.007686,0.087423
0.060000,19,-0.023215,0.060198
0.060000,20,0.081535,0.087724
0.060000,21,-0.038196,0.175117
0.060000,22,-0.047200,0.036988
0.060000,23,-0.087866,0.040280
0.060000,24,0.013728,0.020924
0.060000,25,-0.009209,0.017441
0.060000,26,0.033700,0.007979
0.060000,27,-0.008179,0.017877
0.060000,28,-0.025900,0.006733
0.060000,29,0.016162,0.011002
0.060000,30,0.002580,0.010662
0.060000,31,0.016027,0.009354
0.060000,32,-0.001765,0.045253
0.060000,33,0.036839,0.012981
0.060000,34,0.003938,0.015317
0.060000,35,0.022618,0.004633
0.060000,36,-0.025060,0.012834
0.060000,37,0.022153,0.006558
0.060000,38,0.028615,0.013832
0.060000,39,0.046319,0.008721
0.060000,40,-0.004356,0.022131
0.060000,41,0.032104,0.009942
0.060000,42,0.046492,0.009498
0.060000,43,-0.002369,0.023834
0.060000,44,0.042903,0.008195
0.060000,45,0.005413,0.007526
0.060000,46,-0.006279,0.008389
0.060000,47,-0.062838,0.039397
0.060000,48,-0.003634,0.008731
0.060000,49,0.094957,0.020823
0.060000,50,0.079913,0.064779
0.065000,1,0.062672,0.019697
0.065000,2,0.036671,0.016063
0.065000,3,-0.032726,0.007401
0.065000,4,-0.020000,0.004936
0.065000,5,0.028072,0.009082
0.065000,6,0.022212,0.012390
0.065000,7,0.038005,0.008332
0.065000,8,0.053458,0.011199
0.065000,9,-0.019617,0.014209
0.065000,10,-0.033916,0.011087
0.065000,11,0.059966,0.009607
0.065000,12,0.013985,0.009787
0.065000,13,-0.003435,0.008357
0.065000,14,0.041374,0.019249
0.065000,15,0.079289,0.012761
0.065000,16,-0.015786,0.015116
0.065000,17,-0.032715,0.033963
0.065000,18,0.008986,0.102615
0.065000,19,-0.025618,0.069894
0.065000,20,0.087481,0.093178
0.065000,21,-0.033385,0.249714
0.065000,22,-0.051666,0.043213
0.065000,23,-0.095988,0.047472
0.065000,24,0.022156,0.022464
0.065000,25,-0.008970,0.023447
0.065000,26,0.036418,0.009247
0.065000,27,-0.009296,0.020915
0.065000,28,-0.027845,0.007892
0.065000,29,0.017320,0.012906
0.065000,30,0.002093,0.012500
0.065000,31,0.017485,0.011050
0.065000,32,-0.004283,0.059821
0.065000,33,0.040252,0.015261
0.065000,34,0.006408,0.015309
0.065000,35,0.022524,0.004239
0.065000,36,-0.027514,0.015040
0.065000,37,0.023044,0.006300
0.065000,38,0.030184,0.016162
0.065000,39,0.050261,0.010183
0.065000,40,-0.004591,0.025845
0.065000,41,0.034717,0.011585
0.065000,42,0.050747,0.011254
0.065000,43,-0.002946,0.027846
0.065000,44,0.046615,0.009646
0.065000,45,0.019124,0.009856
0.065000,46,-0.006802,0.009856
0.065000,47,-0.068127,0.046551
0.065000,48,-0.004234,0.010185
0.065000,49,0.102743,0.024493
0.065000,50,0.080101,0.075392
0.070000,1,0.068124,0.022147
0.070000,2,0.039491,0.016876
0.070000,3,-0.035575,0.008933
0.070000,4,-0.021637,0.005811
0.070000,5,0.029756,0.010703
0.070000,6,0.024403,0.014512
0.070000,7,0.040667,0.009668
0.070000,8,0.057143,0.013107
0.070000,9,-0.021514,0.016373
0.070000,10,-0.043116,0.012882
0.070000,11,0.064250,0.011227
0.070000,12,0.014476,0.011231
0.070000,13,-0.004174,0.009627
0.070000,14,0.036069,0.019778
0.070000,15,0.086156,0.014823
0.070000,16,-0.016758,0.017388
0.070000,17,-0.032954,0.038284
0.070000,18,0.005845,0.169709
0.070000,19,-0.028018,0.080334
0.070000,20,0.083870,0.103064
0.070000,21,-0.026821,0.313482
0.070000,22,-0.056132,0.049937
0.070000,23,-0.107235,0.056482
0.070000,24,0.009632,0.031052
0.070000,25,-0.009290,0.027055
0.070000,26,0.039135,0.010612
0.070000,27,-0.019085,0.024787
0.070000,28,-0.029791,0.009144
0.070000,29,0.018480,0.014967
0.070000,30,0.005344,0.018381
0.070000,31,0.018942,0.012889
0.070000,32,-0.004329,0.068296
0.070000,33,0.043666,0.017726
0.070000,34,0.006942,0.017601
0.070000,35,0.023848,0.004896
0.070000,36,-0.029968,0.017422
0.070000,37,0.025210,0.007257
0.070000,38,0.031807,0.018671
0.070000,39,0.054209,0.011760
0.070000,40,-0.004825,0.029851
0.070000,41,0.037332,0.013355
0.070000,42,0.058585,0.016020
0.070000,43,-0.003522,0.032173
0.070000,44,0.035721,0.013793
0.070000,45,0.021040,0.011447
0.070000,46,-0.007324,0.011452
0.070000,47,-0.083955,0.052274
0.070000,48,-0.004834,0.011753
0.070000,49,0.110528,0.028466
0.070000,50,0.085668,0.087490
0.075000,1,0.072835,0.025446
0.075000,2,0.041993,0.019613
0.075000,3,-0.038884,0.010423
0.075000,4,-0.023275,0.006758
0.075000,5,0.031437,0.012457
0.075000,6,0.026594,0.016804
0.075000,7,0.043329,0.011105
0.075000,8,0.051744,0.019222
0.075000,9,-0.023410,0.018695
0.075000,10,-0.046692,0.014764
0.075000,11,0.090434,0.016326
0.075000,12,0.013677,0.012236
0.075000,13,-0.004915,0.010989
0.075000,14,0.038909,0.022494
0.075000,15,0.092740,0.016974
0.075000,16,-0.020516,0.025763
0.075000,17,-0.035098,0.044203
0.075000,18,0.006858,0.194617
0.075000,19,-0.052314,0.136400
0.075000,20,0.090321,0.117796
0.075000,21,-0.010249,0.426781
0.075000,22,-0.060598,0.057160
0.075000,23,-0.115577,0.064994
0.075000,24,0.010390,0.035326
0.075000,25,-0.006841,0.033734
0.075000,26,0.035940,0.012486
0.075000,27,-0.020796,0.028400
0.075000,28,-0.031739,0.010489
0.075000,29,0.019640,0.017184
0.075000,30,0.005163,0.021046
0.075000,31,0.020713,0.017219
0.075000,32,-0.004765,0.078196
0.075000,33,0.047079,0.020379
0.075000,34,0.007476,0.020056
0.075000,35,0.025175,0.005604
0.075000,36,-0.035430,0.021392
0.075000,37,0.030497,0.006595
0.075000,38,0.033480,0.021359
0.075000,39,0.067168,0.013831
0.075000,40,-0.002752,0.032930
0.075000,41,0.039946,0.015252
0.075000,42,0.063104,0.018489
0.075000,43,-0.004099,0.036815
0.075000,44,0.038439,0.015835
0.075000,45,0.022956,0.013159
0.075000,46,-0.007844,0.013175
0.075000,47,-0.090103,0.060283
0.075000,48,-0.005436,0.013435
0.075000,49,0.118314,0.032740
0.075000,50,0.091232,0.100488
0.080000,1,0.077546,0.028976
0.080000,2,0.044493,0.022556
0.080000,3,-0.047919,0.013389
0.080000,4,-0.024913,0.007778
0.080000,5,0.033114,0.014342
0.080000,6,0.028785,0.019265
0.080000,7,0.039280,0.013454
0.080000,8,0.054837,0.022053
0.080000,9,-0.031979,0.022881
0.080000,10,-0.050268,0.016776
0.080000,11,0.096326,0.018703
0.080000,12,0.014206,0.013741
0.080000,13,-0.005660,0.012440
0.080000,14,0.041813,0.025390
0.080000,15,0.099096,0.019219
0.080000,16,-0.021654,0.029092
0.080000,17,-0.037243,0.050553
0.080000,18,0.007870,0.221233
0.080000,19,-0.056067,0.154019
0.080000,20,0.080924,0.111299
0.080000,21,0.028030,0.634097
0.080000,22,-0.065063,0.064882
0.080000,23,-0.124471,0.077904
0.080000,24,0.011091,0.039873
0.080000,25,-0.006968,0.038241
0.080000,26,0.037900,0.016034
0.080000,27,-0.022505,0.032262
0.080000,28,-0.045992,0.014959
0.080000,29,0.015816,0.020101
0.080000,30,0.002269,0.027377
0.080000,31,0.022121,0.019697
0.080000,32,-0.005191,0.088745
0.080000,33,0.050493,0.023217
0.080000,34,0.008010,0.022674
